set/2025;26/09/2025;10;2025;30/11/2025;set/2025;mai/2025;set/2025;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01 04.02.00 01.05.00
jul/2025;29/07/2025;8;2025;30/11/2025;jul/2025;mai/2025;jul/2025;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01 04.02.00 01.05.00
mai/2025;30/05/2025;6;2025;30/11/2025;mai/2025;mai/2025;mai/2025;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01 04.02.00 01.05.00
mar/2025;28/03/2025;4;2025;30/04/2023;mar/2025;nov/2022;mar/2025;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
jan/2025;29/01/2025;2;2025;30/04/2023;jan/2025;nov/2022;jan/2025;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
dez/2024;13/12/2024;12;2024;30/04/2023;dez/2024;nov/2022;nov/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
nov/2024;29/11/2024;12;2024;30/04/2023;nov/2024;nov/2022;nov/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
set/2024;25/09/2024;10;2024;30/04/2023;set/2024;nov/2022;set/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
jul/2024;30/07/2024;8;2024;30/04/2023;jul/2024;nov/2022;jul/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
mai/2024;29/05/2024;6;2024;30/04/2023;mai/2024;nov/2022;mai/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
mar/2024;27/03/2024;4;2024;30/04/2023;mar/2024;nov/2022;mar/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
jan/2024;30/01/2024;2;2024;30/04/2023;jan/2024;nov/2022;jan/2024;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
nov/2023;30/11/2023;12;2023;30/04/2023;nov/2023;nov/2022;nov/2023;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
set/2023;27/09/2023;10;2023;30/04/2023;set/2023;nov/2022;set/2023;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
jul/2023;31/07/2023;8;2023;30/04/2023;jul/2023;nov/2022;jul/2023;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
mai/2023;25/05/2023;6;2023;30/04/2023;mai/2023;nov/2022;mai/2023;mai/2023;04.00.00 04.00.01 04.01.00 01.04.01
